4.444422733277082482e-01,1.571143527870252632e-01,2.873279197678714758e-01,8.682675951986313478e+00,7.478214263916015299e-03,2.475556755065918060e-03,5.002657699584960906e-03,1.294000546874999991e+01
3.189446663688868481e-03,1.053138408069498886e-03,2.136308256201445866e-03,1.497932314056396486e+01,1.074175834655761736e-03,3.511676549911499075e-04,7.230081558227539245e-04,1.682555937500000098e+01
5.520614319806918437e-04,1.854477456491440614e-04,3.666136862058192261e-04,1.847421979003906145e+01,2.220799922943115243e-04,7.274546623229980597e-05,1.493345379829406840e-04,2.009126562499999835e+01
1.321467052842490309e-04,4.670190580334747496e-05,8.544479950913228320e-05,2.164670021057128935e+01,7.862272262573242565e-05,2.659004330635070777e-05,5.203267931938171110e-05,2.319642656250000101e+01
4.112694002862554314e-05,1.571168805341585382e-05,2.541525198088493204e-05,2.473664381896972486e+01,2.912163734436035061e-05,1.292068064212799144e-05,1.620095819234848157e-05,2.628490000000000038e+01
1.835382106160977943e-05,7.540241461101686920e-06,1.081357959497836497e-05,2.783939163818359219e+01,1.633308231830596775e-05,9.584144502878189496e-06,6.748937070369720445e-06,2.940198750000000061e+01
1.209440290229395043e-05,5.436838030364015240e-06,6.657564869383350112e-06,3.095689150451660154e+01,8.928084373474120842e-06,2.429429814219474631e-06,6.498654186725616458e-06,3.251682499999999720e+01
1.075522548606386488e-05,5.495013647559971751e-06,5.260211840868577880e-06,3.406462965698241874e+01,9.595499932765960075e-06,4.253314435482024806e-06,5.342185869812965022e-06,3.559568124999999839e+01
1.001528600900201088e-05,5.265546760801953884e-06,4.749739264152595259e-06,3.717265435302734033e+01,5.358318611979484202e-06,1.219413429498672472e-06,4.138905182480812153e-06,3.868358125000000314e+01
9.117671351123135629e-06,4.599965784145751899e-06,4.517705574035062146e-06,4.026464452392578153e+01,2.712928950786590629e-05,2.237210124731063709e-05,4.757187888026237757e-06,4.185304687499999687e+01
9.828478646013537114e-06,5.347135115257515403e-06,4.481343523075338704e-06,4.329911855957031008e+01,5.387265607714653064e-06,1.216304581612348599e-06,4.170960932970047238e-06,4.464115000000000322e+01
8.558884841258986126e-06,4.280710432167324675e-06,4.278174408100312724e-06,4.621080409912109133e+01,5.820296332240104857e-06,2.063109353184699913e-06,3.757186979055404520e-06,4.765158749999999799e+01
9.048546635531238452e-06,4.747044019036365820e-06,4.301502619564416694e-06,4.829545545654296745e+01,1.530901640653610144e-05,8.695656806230545255e-06,6.613359600305557030e-06,4.918871250000000117e+01
8.821939053814275935e-06,4.617625966614014198e-06,4.204313090303912428e-06,4.963833624511718767e+01,4.553245380520820821e-06,7.306928280740976764e-07,3.822552412748336881e-06,5.019636874999999776e+01
9.067223877718789076e-06,4.849935840975376572e-06,4.217288037689286573e-06,5.041069683837890381e+01,4.330014064908028032e-06,5.715110804885625826e-07,3.758503124117851078e-06,5.096143124999999685e+01
8.992843728701699796e-06,4.842566403742693959e-06,4.150277331646065834e-06,5.156105939208984523e+01,4.763016849756240751e-06,5.640260875225066686e-07,4.198990762233733765e-06,5.217430625000000077e+01
8.655276975769084710e-06,4.523573321259846286e-06,4.131703655657474593e-06,5.278409940063476569e+01,4.303006827831268414e-06,6.467107217758893995e-07,3.656296059489250295e-06,5.302956875000000281e+01
9.457318979693810180e-06,5.349470632830843997e-06,4.107848367930273932e-06,5.307543017333984636e+01,5.929239466786384259e-06,2.379069849848747358e-06,3.550169616937637324e-06,5.328285000000000338e+01
8.758413894247496753e-06,4.683390293727143231e-06,4.075023605473688695e-06,5.348864790527343871e+01,7.670533657073974870e-06,3.930540010333060951e-06,3.739993646740913495e-06,5.365168750000000131e+01
8.298310099271475886e-06,4.242085453813615876e-06,4.056224655214464069e-06,5.387530068847656395e+01,8.060692250728606955e-06,4.348245263099670061e-06,3.712446987628936895e-06,5.399871875000000188e+01
